face_present,face_count,yaw,pitch,roll,left_EAR,right_EAR,gaze_direction,mouth_ratio,face_area,label
1,1,6.14,30.0,2.52,0.276,0.306,3,0.003,0.07,Normal
1,1,5.78,30.0,2.13,0.29,0.304,3,0.005,0.073,Normal
1,1,5.22,30.0,1.83,0.202,0.173,3,0.005,0.064,Normal
1,1,2.04,30.0,0.43,0.239,0.24,3,0.005,0.054,Normal
1,1,3.14,30.0,0.41,0.248,0.247,3,0.006,0.049,Normal
1,1,3.27,30.0,0.61,0.25,0.267,3,0.002,0.051,Normal
1,1,3.15,30.0,0.01,0.21,0.254,3,0.003,0.053,Normal
1,1,3.09,30.0,0.33,0.265,0.251,3,0.005,0.054,Normal
1,1,-4.3,30.0,-2.36,0.231,0.241,3,0.003,0.053,Normal
1,1,-5.88,30.0,-2.99,0.234,0.245,3,0.004,0.056,Normal
1,1,-5.73,30.0,-1.84,0.268,0.262,3,0.003,0.061,Normal
1,1,-7.3,30.0,-2.5,0.27,0.258,3,0.001,0.061,Normal
1,1,-1.37,30.0,-0.82,0.293,0.259,3,0.002,0.06,Normal
1,1,1.16,30.0,0.43,0.283,0.303,3,0.002,0.059,Normal
1,1,-5.35,30.0,-0.94,0.254,0.251,3,0.003,0.057,Normal
1,1,-5.15,30.0,-0.8,0.284,0.253,3,0.001,0.056,Normal
1,1,7.3,30.0,1.11,0.271,0.289,3,0.003,0.069,Normal
1,1,6.87,30.0,1.38,0.264,0.29,3,0.002,0.065,Normal
1,1,7.05,30.0,1.59,0.265,0.283,3,0.003,0.065,Normal
1,1,7.42,30.0,1.52,0.277,0.281,3,0.005,0.064,Normal
1,1,6.17,30.0,1.64,0.249,0.276,3,0.003,0.058,Normal
1,1,5.58,30.0,1.02,0.277,0.289,3,0.006,0.061,Normal
1,1,5.42,30.0,1.32,0.285,0.282,3,0.004,0.061,Normal
1,1,5.19,30.0,0.57,0.272,0.281,3,0.006,0.062,Normal
1,1,5.26,30.0,0.38,0.276,0.277,3,0.005,0.061,Normal
1,1,4.34,30.0,0.45,0.263,0.288,3,0.005,0.06,Normal
1,1,3.9,30.0,0.36,0.27,0.272,3,0.003,0.064,Normal
1,1,4.24,30.0,0.32,0.271,0.268,3,0.001,0.064,Normal
1,1,4.0,30.0,0.15,0.266,0.261,3,0.001,0.066,Normal
1,1,3.78,30.0,-0.26,0.265,0.271,3,0.002,0.066,Normal
1,1,3.52,30.0,0.31,0.277,0.301,3,0.001,0.066,Normal
1,1,3.96,30.0,0.22,0.276,0.282,3,0.002,0.066,Normal
1,1,4.23,30.0,0.27,0.266,0.282,3,0.002,0.063,Normal
1,1,4.25,30.0,0.54,0.261,0.27,3,0.003,0.065,Normal
1,1,4.32,30.0,0.59,0.27,0.263,3,0.002,0.061,Normal
1,1,4.19,30.0,0.48,0.286,0.267,3,0.002,0.061,Normal
1,1,4.66,30.0,0.41,0.285,0.287,3,0.004,0.064,Normal
1,1,4.66,30.0,0.32,0.305,0.322,3,0.004,0.062,Normal
1,1,4.74,30.0,0.55,0.285,0.318,3,0.005,0.059,Normal
1,1,12.87,30.0,-2.9,0.29,0.307,3,0.002,0.056,Normal
1,1,10.66,30.0,-2.02,0.282,0.295,3,0.003,0.059,Normal
1,1,8.35,30.0,-1.85,0.257,0.298,3,0.002,0.058,Normal
1,1,5.65,30.0,-1.43,0.272,0.298,3,0.003,0.059,Normal
1,1,5.42,30.0,-1.01,0.275,0.279,3,0.006,0.062,Normal
1,1,5.52,30.0,-0.69,0.274,0.276,3,0.007,0.06,Normal
1,1,5.26,30.0,-0.55,0.275,0.282,3,0.004,0.059,Normal
1,1,5.08,30.0,-0.7,0.256,0.282,3,0.004,0.061,Normal
1,1,5.06,30.0,-0.74,0.268,0.275,3,0.005,0.062,Normal
1,1,4.66,30.0,-1.11,0.263,0.271,3,0.004,0.059,Normal
